                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.95296,                0.48804,                0.86281,                0.99885,                      1,                  0.995,                0.70408,                 1.1089,                0.47168,                0.93614,               0.005809,               0.005809,               0.005809
                    129,                0.92958,                0.50287,                 0.8602,                0.99884,                      1,                  0.995,                0.70883,                 1.0832,                  0.459,                0.92007,               0.005776,               0.005776,               0.005776
                    130,                0.90338,                0.47894,                0.86206,                0.99891,                      1,                  0.995,                0.70107,                 1.1281,                0.47339,                0.94529,               0.005743,               0.005743,               0.005743
                    131,                0.99716,                0.47982,                0.87799,                0.99887,                      1,                  0.995,                0.68306,                 1.1659,                0.49092,                0.94789,                0.00571,                0.00571,                0.00571
                    132,                0.97884,                0.49452,                0.88791,                0.99879,                      1,                  0.995,                  0.709,                 1.1048,                0.46755,                0.93125,               0.005677,               0.005677,               0.005677
                    133,                0.90766,                 0.4825,                0.87246,                0.99878,                      1,                  0.995,                0.72245,                 1.0703,                0.47395,                0.92844,               0.005644,               0.005644,               0.005644
                    134,                0.90321,                  0.475,                 0.8606,                0.99893,                      1,                  0.995,                0.71856,                 1.0755,                 0.4429,                 0.9196,               0.005611,               0.005611,               0.005611
                    135,                0.90636,                0.46592,                0.86583,                0.99885,                      1,                  0.995,                0.72345,                 1.0835,                0.46586,                0.92753,               0.005578,               0.005578,               0.005578
                    136,                0.92691,                  0.473,                0.85899,                0.99884,                      1,                  0.995,                0.71063,                  1.067,                0.45938,                0.91609,               0.005545,               0.005545,               0.005545
                    137,                0.93599,                0.47384,                0.86322,                0.99889,                      1,                  0.995,                 0.6966,                 1.1671,                0.48968,                 0.9479,               0.005512,               0.005512,               0.005512
                    138,                0.91961,                0.47762,                0.84548,                0.99882,                      1,                  0.995,                0.72326,                 1.0662,                0.44879,                0.91499,               0.005479,               0.005479,               0.005479
                    139,                0.92664,                0.47614,                0.85263,                0.99892,                      1,                  0.995,                0.69878,                 1.1304,                0.46588,                0.94435,               0.005446,               0.005446,               0.005446
                    140,                0.92783,                0.48001,                0.86561,                0.99893,                      1,                  0.995,                 0.7152,                 1.0856,                0.47274,                0.92337,               0.005413,               0.005413,               0.005413
                    141,                0.92354,                 0.4824,                0.86572,                0.99893,                      1,                  0.995,                0.69385,                  1.134,                0.45407,                0.94369,                0.00538,                0.00538,                0.00538
                    142,                0.97497,                0.47674,                0.86735,                0.99891,                      1,                  0.995,                0.70291,                 1.0934,                0.46328,                0.92597,               0.005347,               0.005347,               0.005347
                    143,                0.87473,                0.46414,                0.85368,                0.99889,                      1,                  0.995,                0.70884,                 1.0954,                0.44494,                0.93041,               0.005314,               0.005314,               0.005314
                    144,                0.88435,                0.46317,                0.86723,                0.99872,                      1,                  0.995,                0.71096,                 1.0973,                0.44703,                0.92532,               0.005281,               0.005281,               0.005281
                    145,                0.92084,                0.46882,                 0.8606,                0.99882,                      1,                  0.995,                0.69972,                 1.0946,                0.46372,                0.92462,               0.005248,               0.005248,               0.005248
                    146,                0.91004,                0.46941,                 0.8548,                0.99885,                      1,                  0.995,                0.69544,                 1.1009,                0.46508,                 0.9358,               0.005215,               0.005215,               0.005215
                    147,                0.88299,                0.45667,                0.84874,                0.99897,                      1,                  0.995,                0.70537,                 1.1016,                0.45587,                 0.9308,               0.005182,               0.005182,               0.005182
                    148,                0.91659,                0.44911,                0.83952,                0.99891,                      1,                  0.995,                0.71341,                 1.1081,                0.47232,                0.93958,               0.005149,               0.005149,               0.005149
                    149,                0.88401,                 0.4601,                0.84567,                 0.9989,                      1,                  0.995,                0.69561,                 1.1058,                0.44758,                0.93146,               0.005116,               0.005116,               0.005116
                    150,                0.87158,                0.44962,                0.86734,                0.99899,                      1,                  0.995,                0.69127,                 1.1594,                 0.4725,                0.95374,               0.005083,               0.005083,               0.005083
                    151,                0.89484,                 0.4668,                0.85033,                0.99893,                      1,                  0.995,                0.69594,                 1.1122,                0.46251,                0.93317,                0.00505,                0.00505,                0.00505
                    152,                0.91044,                0.46626,                0.86628,                0.99897,                      1,                  0.995,                0.68179,                 1.1518,                 0.4672,                0.94718,               0.005017,               0.005017,               0.005017
                    153,                0.86616,                0.45083,                0.85222,                0.99888,                      1,                  0.995,                0.70057,                 1.0987,                 0.4558,                0.92483,               0.004984,               0.004984,               0.004984
                    154,                0.90713,                0.47113,                0.84425,                0.99887,                      1,                  0.995,                0.69463,                 1.1107,                0.44886,                0.93652,               0.004951,               0.004951,               0.004951
                    155,                0.86252,                0.44494,                 0.8555,                 0.9989,                      1,                  0.995,                0.67739,                 1.1135,                0.46255,                0.93122,               0.004918,               0.004918,               0.004918
                    156,                0.87984,                0.45964,                0.85903,                0.99894,                      1,                  0.995,                0.71043,                 1.0717,                0.46116,                0.92341,               0.004885,               0.004885,               0.004885
